ensgene	symbol	m7_d5_nutri_1	m7_d5_nutri_2	m7_d5_nutri_3	m7_d5_nutri_4	Rap_d1_nutri_1	Rap_d1_nutri_2	Rap_d1_nutri_3	Rap_d1_nutri_4	Ric_d5_nutri_1	Ric_d5_nutri_2	Ric_d5_nutri_3	Ric_d5_nutri_4	v_d4_nutri_1	v_d4_nutri_2	v_d4_nutri_3	v_d4_nutri_4
ENSG00000197472	ZNF695	26	26	23	36	45	37	58	57	25	20	40	96	23	16	25	14
ENSG00000230184	SMYD3-IT1	0	0	0	0	2	0	1	1	2	0	0	0	0	0	0	0
ENSG00000234004	AC092017.2	3	4	14	7	12	8	16	7	20	9	9	17	10	7	5	11
ENSG00000188585	CLEC20A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232436	AL360013.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231718	AC099673.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283952	AC092017.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230019	YWHAQP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278694	AL354980.1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000136643	RPS6KC1	117	75	32	76	197	204	124	229	161	128	245	374	71	33	56	43
ENSG00000232537	AC092810.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226036	AL590648.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000285521	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287343	NA	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
ENSG00000236317	AC104333.2	0	2	0	0	0	0	0	0	0	1	4	0	1	0	0	0
ENSG00000227962	AL391994.1	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0
ENSG00000176855	KRT18P28	137	176	141	119	601	494	490	432	816	484	885	608	585	442	625	560
ENSG00000227728	AL356583.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000133069	TMCC2	27	25	32	21	27	39	43	43	28	15	30	24	36	18	18	23
ENSG00000162877	PM20D1	0	1	0	3	0	0	0	3	1	4	2	0	2	3	0	10
ENSG00000233461	AL445524.1	453	408	483	368	347	374	423	377	500	304	528	541	223	144	244	325
ENSG00000261504	LINC01686	0	0	0	0	0	0	0	0	8	6	10	12	4	2	6	2
ENSG00000225401	TGIF2P1	2	1	0	2	0	2	1	1	0	0	1	2	3	0	0	1
ENSG00000228190	RPL23AP16	2	0	2	0	5	0	1	0	2	0	0	1	0	0	0	0
ENSG00000135747	ZNF670-ZNF695	3	11	1	4	4	2	5	0	8	6	10	9	2	8	3	2
ENSG00000227237	AL672291.1	0	0	2	0	0	0	0	0	1	1	2	5	0	3	1	1
ENSG00000069248	NUP133	651	332	238	410	737	628	414	642	581	636	923	1073	313	188	147	152
ENSG00000117791	MARC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232812	LINC01717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231666	LINC01704	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000226986	AC092017.1	177	225	298	151	142	171	158	132	276	168	302	309	198	186	209	228
ENSG00000242042	LINC01743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234464	AL356010.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253148	RGS21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227751	AC004824.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228687	AL035407.2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ENSG00000090104	RGS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285280	NA	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0
ENSG00000232892	AL499616.1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
ENSG00000236950	LINC01774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229849	PYHIN5P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236468	AC099335.1	0	1	1	0	0	5	1	0	2	0	3	3	1	0	0	1
ENSG00000163568	AIM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143322	ABL2	644	591	158	503	746	742	712	841	859	772	1190	1220	488	258	173	216
ENSG00000185220	PGBD2	174	126	63	148	121	143	114	141	142	170	259	282	117	67	80	99
ENSG00000226003	AL354714.3	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1
ENSG00000230813	AL356583.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226862	AC104463.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131791	PRKAB2	85	83	48	68	75	91	33	84	270	261	343	454	76	61	36	45
ENSG00000236101	RAC1P7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000162769	FLVCR1	151	58	17	86	273	254	257	208	122	99	176	262	55	36	20	27
ENSG00000224717	AC098936.1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0
ENSG00000133065	SLC41A1	373	388	377	255	361	271	176	390	849	619	884	801	634	455	547	668
ENSG00000278684	AC104465.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261060	AL160286.2	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0
ENSG00000236775	AL512637.2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000042781	USH2A	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000234754	C1orf140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233084	RPL23AP25	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0
ENSG00000227815	AL359265.1	0	1	1	1	1	3	1	1	0	4	11	6	1	0	0	2
ENSG00000287046	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223774	AL513217.1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
ENSG00000228863	AL121985.1	4	0	0	4	1	3	4	3	4	2	2	4	4	3	2	1
ENSG00000228646	RPL31P13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229112	AL356583.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233332	AL122008.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228918	LINC01344	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0
ENSG00000231984	AL596266.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286213	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226876	AC092801.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277462	ZNF670	148	60	3	108	144	157	86	81	44	68	117	194	40	20	40	19
ENSG00000225591	BX248409.1	1	1	1	2	1	0	1	0	1	0	3	3	1	0	0	0
ENSG00000035687	ADSS	140	91	39	130	148	171	108	141	117	112	228	427	76	47	30	33
ENSG00000213080	AL354714.2	73	80	56	59	203	215	224	213	167	147	250	332	195	133	132	150
ENSG00000180287	PLD5	0	0	0	0	93	71	81	60	0	0	0	0	1	0	0	2
ENSG00000226693	NXNP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234678	ELF3-AS1	8	14	7	10	21	7	6	9	9	6	9	6	17	17	14	5
ENSG00000231272	AL122008.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223828	BANF1P4	0	0	0	0	0	3	1	2	5	0	1	1	3	1	1	1
ENSG00000163431	LMOD1	3	3	1	5	0	1	0	1	6	0	3	1	0	1	0	1
ENSG00000230124	ACBD6	329	393	383	285	531	462	456	479	843	610	1014	961	582	415	429	592
ENSG00000226723	AL513175.1	19	11	5	12	23	32	17	21	12	11	18	27	9	4	9	4
ENSG00000272672	AL391497.1	3	0	0	2	0	2	0	1	1	1	2	2	0	2	0	0
ENSG00000143473	KCNH1	13	6	16	7	40	18	9	26	40	19	48	33	18	10	5	3
ENSG00000228982	AL627095.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273175	BX323046.1	0	3	4	5	3	1	1	0	0	0	4	0	2	0	0	2
ENSG00000235096	AC118555.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000237250	AL359924.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000007341	ST7L	709	577	502	526	602	566	518	531	342	353	449	505	277	154	193	197
ENSG00000286747	NA	8	10	1	10	17	16	20	8	11	7	11	9	11	4	7	3
ENSG00000236069	AL136987.2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236244	AL122008.4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000272865	AL591686.2	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0
ENSG00000270575	AL160281.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000117222	RBBP5	2689	1976	1305	1931	4122	3785	6787	3629	4179	3734	6161	5718	2955	1637	944	970
ENSG00000143324	XPR1	282	144	94	230	359	392	225	338	269	239	425	618	135	89	61	80
ENSG00000235363	SNRPGP10	13	9	5	5	28	32	33	30	16	12	36	49	15	7	9	9
ENSG00000179452	LINC01699	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229871	RPSAP20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000225222	CHCHD4P5	2	1	0	2	0	4	0	0	0	4	5	3	3	2	0	0
ENSG00000226814	AL035407.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000118193	KIF14	12	16	0	24	59	64	52	41	36	53	64	108	28	0	10	3
ENSG00000234116	AL606534.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231940	RPS7P3	8	11	10	12	12	21	19	18	6	5	18	19	7	6	6	4
ENSG00000198842	DUSP27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286619	NA	54	37	32	44	15	24	30	31	43	29	70	84	23	14	18	23
ENSG00000198756	COLGALT2	128	157	125	88	121	122	114	98	217	149	255	161	111	80	53	120
ENSG00000259823	LYPD8	0	0	1	0	0	0	0	0	17	7	19	16	4	4	6	6
ENSG00000271558	AL391813.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227554	AL590422.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178596	GAPDHP29	29	33	31	23	20	29	18	23	23	20	17	24	21	13	13	19
ENSG00000135749	PCNX2	162	113	131	49	303	288	230	287	317	265	323	297	330	224	219	207
ENSG00000143786	CNIH3	151	148	165	146	374	385	266	301	237	183	322	239	231	181	216	203
ENSG00000180867	PDIA3P1	404	379	315	310	497	520	443	485	593	471	701	748	343	250	299	348
ENSG00000224584	UBE2V1P13	0	0	1	1	0	2	0	1	1	0	0	0	0	0	0	0
ENSG00000054282	SDCCAG8	140	73	46	130	161	184	189	158	127	156	285	528	132	69	83	69
ENSG00000143126	CELSR2	8	20	14	17	8	15	15	7	19	10	19	18	18	23	42	21
ENSG00000236539	HNRNPA1P54	2	4	0	1	2	3	12	4	6	0	8	8	3	0	1	1
ENSG00000261798	AL033527.3	0	0	2	0	1	0	1	0	2	0	1	0	1	0	0	3
ENSG00000183780	SLC35F3	17	7	1	12	8	7	8	12	1	2	6	10	9	2	3	1
ENSG00000229663	AL672296.1	0	0	0	0	3	1	2	0	2	2	1	0	0	0	2	0
ENSG00000287601	NA	3	3	2	1	2	2	3	3	5	0	6	5	3	1	0	4
ENSG00000229463	LYST-AS1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162702	ZNF281	140	44	14	137	293	318	226	290	149	178	301	487	130	32	41	29
ENSG00000251508	AL133380.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238272	AL139142.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000228530	AL445687.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000235060	VDAC1P4	8	5	8	5	3	7	9	3	4	1	4	5	3	0	2	7
ENSG00000143194	MAEL	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000229531	Z99127.1	3	3	2	1	0	2	2	1	0	0	2	1	0	0	1	1
ENSG00000271329	AL035417.2	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0
ENSG00000054267	ARID4B	128	76	22	80	175	182	247	123	51	62	117	254	82	28	50	37
ENSG00000261831	AL353708.2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSG00000287921	NA	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0
ENSG00000177800	TMEM78	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000225620	AC104463.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232166	AL122008.2	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0
ENSG00000175137	SH3BP5L	118	121	120	82	76	62	46	94	179	117	179	136	163	119	207	182
ENSG00000134245	WNT2B	158	136	96	81	74	85	124	46	131	139	166	167	66	52	53	53
ENSG00000234041	AL512326.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000227373	AL121983.2	0	1	0	1	5	0	7	1	3	0	8	4	2	2	0	0
ENSG00000231905	SETP10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235674	LDHAP2	45	28	34	55	28	53	37	46	26	27	47	43	36	18	16	21
ENSG00000228175	GEMIN8P4	55	22	37	43	37	52	45	45	55	46	94	101	27	24	22	11
ENSG00000236278	PEBP1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000069275	NUCKS1	7711	3987	1272	5582	17539	17670	22820	15774	8233	9727	16842	25925	6430	2226	2625	1700
ENSG00000143674	MAP3K21	8	5	2	19	49	35	76	22	11	24	30	73	10	3	1	5
ENSG00000237317	AL022400.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187889	FYB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000134375	TIMM17A	326	250	171	352	622	718	758	572	426	404	750	1219	363	149	154	178
ENSG00000282317	AL451007.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000097046	CDC7	292	139	42	218	580	683	459	680	346	436	794	1399	118	45	85	30
ENSG00000232113	TEX50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203667	COX20	20	16	5	19	27	33	39	27	16	12	16	46	17	3	8	8
ENSG00000282718	AC104333.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231378	NDUFAF4P4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000235605	AL355472.2	58	51	92	68	61	61	56	56	69	54	100	101	57	46	60	58
ENSG00000223525	RABGAP1L-IT1	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0
ENSG00000224857	LINC01691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229913	AL360295.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273367	AL355472.4	2	1	0	2	0	1	2	1	0	0	1	3	0	0	0	0
ENSG00000230604	TSEN15P2	3	0	0	0	0	1	0	0	2	2	0	11	0	0	0	0
ENSG00000231605	LINC01363	0	0	1	0	0	2	0	0	0	0	0	0	0	3	0	0
ENSG00000236358	AL355472.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203706	SERTAD4-AS1	9	4	5	3	6	13	5	11	17	17	32	39	5	4	6	5
ENSG00000203737	GPR52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238003	RPL10P4	7	11	8	10	3	6	5	6	9	15	14	9	8	10	12	8
ENSG00000236341	AL161740.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000215873	FEN1P1	1	3	2	1	7	3	5	2	8	3	5	4	2	4	3	4
ENSG00000287008	NA	1	0	0	1	2	0	0	1	2	2	2	1	1	2	2	1
ENSG00000185420	SMYD3	53	56	80	56	180	220	192	157	251	165	302	301	175	158	104	144
ENSG00000076321	KLHL20	172	109	66	211	240	304	220	260	155	193	366	526	155	70	55	41
ENSG00000272175	AL050343.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231564	EIF4A1P11	1	1	2	0	5	7	3	4	2	0	1	3	0	2	1	0
ENSG00000143575	HAX1	10876	12663	17444	9600	4735	6331	6070	6286	12382	8439	15060	12989	8153	6973	8738	9277
ENSG00000135778	NTPCR	1974	1820	2258	1590	2311	2396	2514	2378	2719	2008	3737	3534	2118	1949	2072	2406
ENSG00000213070	HMGB3P6	9	8	9	6	11	24	19	21	17	12	21	27	10	12	13	14
ENSG00000282265	AL450990.1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
ENSG00000250536	ABHD17AP3	5	3	2	4	1	5	2	1	4	0	4	7	1	2	4	2
ENSG00000229747	AL445687.2	1	1	1	0	0	1	0	0	1	0	0	2	0	0	0	0
ENSG00000117280	RAB29	584	440	249	467	670	620	761	598	750	741	1443	1686	527	245	298	260
ENSG00000157131	C8A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233985	LINC01681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000082497	SERTAD4	60	41	11	64	58	73	60	69	66	50	92	151	17	9	7	7
ENSG00000232175	AL122003.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287423	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286774	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236719	OVAAL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000136636	KCTD3	21	29	5	25	31	72	35	46	22	38	62	114	29	10	5	8
ENSG00000285905	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233455	AL035414.1	0	0	0	0	0	1	3	2	0	0	0	0	0	1	0	1
ENSG00000225486	AL663058.1	16	14	9	13	25	20	26	18	10	12	12	14	6	5	6	2
ENSG00000261250	AL160286.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000227043	LINC01682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163874	ZC3H12A	82	112	106	59	48	59	36	40	86	41	55	43	67	42	49	75
ENSG00000285777	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237249	Z99127.3	1	0	0	0	2	1	2	1	0	0	1	1	0	0	0	0
ENSG00000286109	NA	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
ENSG00000213068	AL451050.1	0	1	0	0	0	1	0	0	2	1	1	2	0	0	0	0
ENSG00000233473	RAD1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000054392	HHAT	254	205	143	189	203	205	168	196	372	256	389	425	174	109	77	97
ENSG00000227994	AL035417.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261573	AL157402.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286552	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225711	AL512326.1	0	0	0	1	0	0	1	1	1	1	0	0	2	0	0	0
ENSG00000122223	CD244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117322	CR2	0	1	0	0	3	14	7	6	15	19	5	27	1	1	2	6
ENSG00000235869	Z99127.2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ENSG00000188739	RBM34	16	20	8	10	27	16	29	13	13	13	16	31	14	8	5	7
ENSG00000286666	NA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000236863	RPL23AP23	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0
ENSG00000135750	KCNK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228477	AL663070.1	96	87	143	68	91	60	39	64	115	76	134	129	71	60	54	80
ENSG00000273198	AL096803.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213058	AL365357.1	363	290	494	310	204	217	203	188	335	202	387	365	234	234	264	363
ENSG00000203730	TEDDM1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0
ENSG00000225719	NMNAT1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273483	AL354760.1	1	0	0	0	0	3	4	0	0	0	0	1	0	0	0	0
ENSG00000287987	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000137975	CLCA2	7	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
ENSG00000203729	LINC00272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232809	VDAC1P10	2	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0
ENSG00000284623	AL139158.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285981	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244371	PFN1P8	0	1	0	1	0	0	3	2	0	1	1	1	0	0	0	0
ENSG00000261729	AL133383.1	1	0	0	0	2	0	2	0	1	0	1	9	1	8	0	0
ENSG00000223869	AC099563.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229228	LINC00582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215796	AL512637.1	8	2	0	2	15	7	18	10	3	4	6	16	2	1	1	1
ENSG00000153187	HNRNPU	2102	1683	1095	1600	2259	2160	1863	2271	2576	1885	3125	3461	1665	906	992	1162
ENSG00000185221	GAPDHP24	1	1	1	2	1	2	2	1	2	4	1	4	4	0	0	3
ENSG00000236911	AL137789.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233047	LINC01677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143341	HMCN1	5	0	2	1	5	11	4	9	12	7	21	23	0	2	2	2
ENSG00000228309	LINC01350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283044	AL391597.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229739	AL596220.1	3	0	0	4	6	2	3	6	1	5	2	12	1	0	0	0
ENSG00000116703	PDC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273874	MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278791	MIR6723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278757	U6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284372	MIR6808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276189	TP73-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207056	RNU1-8P	2	1	1	0	0	1	0	0	0	1	0	1	1	0	0	3
ENSG00000264341	MIR4417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264101	MIR4689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265141	RN7SL451P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221083	SNORA77	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
ENSG00000202415	RN7SKP269	3	7	2	3	6	1	2	6	11	6	12	7	4	3	4	2
ENSG00000252404	SCARNA16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000222511	Y_RNA	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000265521	MIR5697	4	2	1	1	0	1	4	1	2	2	0	1	0	0	1	0
ENSG00000207451	RNU6-291P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265392	MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243267	RN7SL614P	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0
ENSG00000201725	RNU6-304P	1	0	0	1	0	1	0	0	0	1	2	0	1	0	1	0
ENSG00000207434	RNU6-1072P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274258	MIR6728	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000207511	RNU6-443P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239149	SNORA59A	4	2	4	3	2	5	7	8	11	5	14	14	12	8	17	9
ENSG00000252151	RNU6-1265P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278073	MIR6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207776	MIR551A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000252969	SNORA70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252417	RNU7-179P	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000200344	Y_RNA	12	21	9	20	26	17	21	16	32	40	17	20	37	18	25	15
ENSG00000200975	RNU1-7P	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000221340	RNU6ATAC18P	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000276830	MIR6730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283712	MIR6727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264014	MIR4253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000201609	RNU4-28P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238482	RNU6-1208P	3	1	0	1	2	1	0	1	3	0	1	4	0	0	0	0
ENSG00000252956	RNA5SP40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265606	MIR4695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221662	MIR1290	1	3	3	1	3	2	0	1	2	0	5	2	2	0	2	0
ENSG00000284357	MIR34A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278034	MIR6731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252802	Y_RNA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243905	RN7SL679P	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207237	RNU6-110P	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
ENSG00000222784	RN7SKP91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206888	RNU6-48P	2	5	0	3	0	1	1	0	5	0	1	0	0	0	1	1
ENSG00000266210	RN7SL371P	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265961	Y_RNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251866	SCARNA21B	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252691	SCARNA18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264371	MIR4425	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
